Player,School,Year,points_won,Passing_Rate,Passing_TD,Rushing_TD,Power5,CPI
Troy Smith,Ohio State,2006,2540,161.9,30,1,1,15.013680174870936
Brady Quinn,Notre Dame,2006,782,146.7,37,2,0,8.231919146738909
Colt Brennan,Hawaii,2006,202,186.0,58,5,0,6.365435540069685
Tim Tebow,Florida,2007,1957,172.5,32,23,1,7.987912822160973
Colt Brennan,Hawaii,2007,632,159.8,38,8,0,7.5994759572849
Chase Daniel,Missouri,2007,425,147.9,33,4,1,11.748104548755686
Dennis Dixon,Oregon,2007,178,161.2,20,9,1,6.540100800550993
Pat White,West Virginia,2007,150,151.4,14,14,0,11.379512110196254
Matt Ryan,Boston College,2007,63,127.0,31,2,1,8.768469146897912
Sam Bradford,Oklahoma,2008,1726,180.8,50,5,1,15.05704821146074
Colt McCoy,Texas,2008,1604,173.8,34,11,1,18.946208112380297
Tim Tebow,Florida,2008,1575,172.4,30,12,1,19.409963559776127
Graham Harrell,Texas Tech,2008,213,160.0,45,6,1,13.05053009399466
Pat White,West Virginia,2008,19,142.3,21,8,0,6.385230641176652
Nate Davis,Ball State,2008,10,157.0,26,5,0,6.050702467936028
Colt McCoy,Texas,2009,1145,147.4,27,3,1,16.18331903502398
Tim Tebow,Florida,2009,390,164.2,21,14,1,18.51486090299109
Kellen Moore,Boise State,2009,100,161.7,39,1,0,14.46082921027991
Case Keenum,Houston,2009,37,154.8,44,4,0,4.218052997436561
Cam Newton,Auburn,2010,2263,182.0,30,20,1,23.86780983482786
Andrew Luck,Stanford,2010,1079,170.2,32,3,1,13.946308906421848
Kellen Moore,Boise State,2010,635,182.6,35,1,0,12.802241937566109
Denard Robinson,Michigan,2010,84,149.6,18,14,1,3.2478886059804224
Ryan Mallett,Arkansas,2010,41,163.6,32,4,1,10.82973394387262
Colin Kaepernick,Nevada,2010,31,150.5,21,20,0,11.384387560083765
Andy Dalton,TCU,2010,30,166.5,27,6,0,14.944350584507326
Robert Griffin III,Baylor,2011,1687,189.5,37,10,1,10.316157413813375
Andrew Luck,Stanford,2011,1407,169.7,37,2,1,9.667409405228565
Matt Barkley,USC,2011,153,161.2,39,2,1,9.562203977574791
Case Keenum,Houston,2011,123,174.0,48,3,0,11.420863535280626
Kellen Moore,Boise State,2011,90,175.2,43,0,0,12.265954369362133
Russell Wilson,Wisconsin,2011,52,191.8,33,6,1,8.281890427937858
Johnny Manziel,Texas A&M,2012,2029,155.3,26,21,1,15.754760156860875
Collin Klein,Kansas State,2012,894,149.2,16,23,1,11.817693133497077
Braxton Miller,Ohio State,2012,144,140.5,15,13,1,15.169148199200322
Jordan Lynch,Northern Illinois,2012,52,144.9,25,19,0,6.92703223246081
Jameis Winston,Florida State,2013,2205,184.8,40,4,1,19.32052650022246
A.J. McCarron,Alabama,2013,704,167.2,28,0,1,11.90196866646686
Jordan Lynch,Northern Illinois,2013,558,138.4,24,23,0,7.111211920283987
Johnny Manziel,Texas A&M,2013,421,172.9,37,9,1,8.051361094960829
Bryce Petty,Baylor,2013,127,174.3,32,14,1,11.402244928532845
Derek Carr,Fresno State,2013,107,156.3,50,2,0,7.156147448813237
Braxton Miller,Ohio State,2013,91,158.1,24,12,1,10.39338163747249
Marcus Mariota,Oregon,2014,2534,181.7,42,15,1,16.12744333111277
Trevone Boykin,TCU,2014,218,145.9,33,8,1,13.076626318134918
J.T. Barrett,Ohio State,2014,78,169.8,34,11,1,20.0747422358138
Jameis Winston,Florida State,2014,51,145.5,25,3,1,18.46103191334333
Dak Prescott,Mississippi State,2014,21,151.7,27,14,1,9.456126458240307
Deshaun Watson,Clemson,2015,1165,156.3,35,12,1,19.16167854243615
Baker Mayfield,Oklahoma,2015,334,173.3,36,7,1,12.740224517380366
Keenan Reynolds,Navy,2015,180,162.1,8,24,0,10.128862442591032
Connor Cook,Michigan State,2015,13,136.6,24,0,1,14.713371407886711
Lamar Jackson,Louisville,2016,2144,148.8,30,21,1,5.608782090662399
Deshaun Watson,Clemson,2016,1524,151.1,41,9,1,23.78005620893973
Baker Mayfield,Oklahoma,2016,361,196.4,40,6,1,11.25001891558911
Jake Browning,Washington,2016,182,167.5,43,4,1,12.923870541835983
Baker Mayfield,Oklahoma,2017,2398,198.9,43,5,1,11.183099131224177
Lamar Jackson,Louisville,2017,793,146.6,27,18,1,3.9226957076095994
Mason Rudolph,Oklahoma State,2017,56,170.6,37,10,1,6.425405376500221
McKenzie Milton,UCF,2017,54,179.3,37,8,0,19.08379077956817
Kyler Murray,Oklahoma,2018,2167,199.2,42,12,1,12.942861869472573
Tua Tagovailoa,Alabama,2018,1871,199.4,43,5,1,20.688097541235337
Dwayne Haskins,Ohio State,2018,783,174.1,50,4,1,13.097950650643533
Will Grier,West Virginia,2018,126,175.5,37,3,1,5.5749718367802
Gardner Minshew,Washington State,2018,122,147.6,38,4,1,10.593990104817577
McKenzie Milton,UCF,2018,39,161.0,25,9,0,11.842688493982308
Joe Burrow,LSU,2019,2608,202.0,60,5,1,27.81090580974389
Jalen Hurts,Oklahoma,2019,762,191.2,32,20,1,11.86131918185052
Justin Fields,Ohio State,2019,747,181.4,41,10,1,19.03510596761913
Trevor Lawrence,Clemson,2019,88,166.7,36,9,1,17.71916867557893
